"gene","trait","GS","pVal","moduleMembership","degree","module","hubGeneSignificance","moduleSignificance"
"RSAD2.91543","ips_ctla4_pos_pd1_neg",0.272897215272229,1.66805265367339e-08,0.886340548111571,13.4381965208057,"plum2",0.0187390644526068,0.275712341729773
"XAF1.54739","ips_ctla4_pos_pd1_neg",0.440586523153754,4.34543587513631e-21,0.872508196871447,12.4001349883911,"plum2",0.0187390644526068,0.275712341729773
"ABI3.51225","ips_ctla4_pos_pd1_neg",0.294754574528093,9.61782703912556e-10,0.889350234370322,292.876462380485,"turquoise",0.00223266155411915,0.1388540244247
"ACAP1.9744","ips_ctla4_pos_pd1_neg",0.381408020936189,8.75968905960878e-16,0.830394682101615,254.41050492868,"turquoise",0.00223266155411915,0.1388540244247
"AMICA1.120425","ips_ctla4_pos_pd1_neg",0.219683251235251,6.43376226804826e-06,0.837403372694391,248.107102648224,"turquoise",0.00223266155411915,0.1388540244247
"APBB1IP.54518","ips_ctla4_pos_pd1_neg",0.205447290172814,2.52429879245738e-05,0.908594767410889,309.237401210218,"turquoise",0.00223266155411915,0.1388540244247
"APOL3.80833","ips_ctla4_pos_pd1_neg",0.469117301670808,4.81552949369975e-24,0.808278366745241,221.288087209032,"turquoise",0.00223266155411915,0.1388540244247
"ARHGAP15.55843","ips_ctla4_pos_pd1_neg",0.297267683004734,6.81837630325984e-10,0.881830729488784,274.84859973455,"turquoise",0.00223266155411915,0.1388540244247
"ARHGAP30.257106","ips_ctla4_pos_pd1_neg",0.244032954790399,4.9946949509792e-07,0.827453037563772,244.710355910165,"turquoise",0.00223266155411915,0.1388540244247
"ARHGAP9.64333","ips_ctla4_pos_pd1_neg",0.360353155932381,3.86073898223087e-14,0.851867217025491,259.945078379355,"turquoise",0.00223266155411915,0.1388540244247
"ARHGDIB.397","ips_ctla4_pos_pd1_neg",0.323611218895652,1.50925994570286e-11,0.871276038185453,267.817135422126,"turquoise",0.00223266155411915,0.1388540244247
"ARHGEF6.9459","ips_ctla4_pos_pd1_neg",0.222070177978568,5.06968756985735e-06,0.880267051562593,276.61107476224,"turquoise",0.00223266155411915,0.1388540244247
"BIN2.51411","ips_ctla4_pos_pd1_neg",0.257294967204728,1.10233354058271e-07,0.902267687930931,302.256680325239,"turquoise",0.00223266155411915,0.1388540244247
"BTK.695","ips_ctla4_pos_pd1_neg",0.231095929736676,2.01045273493186e-06,0.909034317078184,307.893994651563,"turquoise",0.00223266155411915,0.1388540244247
"C16orf54.283897","ips_ctla4_pos_pd1_neg",0.326530457608933,9.66421480872698e-12,0.845930461183492,249.405231861368,"turquoise",0.00223266155411915,0.1388540244247
