"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Primary immunodeficiency","KEGG:05340","0.00042731520061489655","3.3692516580235394","36","27","4","7590","CD3D,CD3E,ICOS,LCK"
"KEGG","Cytokine-cytokine receptor interaction","KEGG:04060","0.0032766783166850526","2.4845661927787663","292","27","7","7590","CXCR3,CXCR6,IL12RB1,CCL4,CCR5,IL21R,IL2RB"
"KEGG","Cell adhesion molecules (CAMs)","KEGG:04514","0.007896268958099653","2.102578067401589","143","27","5","7590","CD2,CD6,ICOS,ITGAL,ITGB7"
"KEGG","PD-L1 expression and PD-1 checkpoint pathway in cancer","KEGG:05235","0.015572520197405853","1.8076410971777757","89","27","4","7590","CD247,CD3D,CD3E,LCK"
"KEGG","Hematopoietic cell lineage","KEGG:04640","0.018441777981716475","1.7341972106997081","93","27","4","7590","CD2,CD3D,CD3E,CD5"
"KEGG","Viral protein interaction with cytokine and cytokine receptor","KEGG:04061","0.022540587690857962","1.6470347649727255","98","27","4","7590","CXCR3,CCL4,CCR5,IL2RB"
"KEGG","Chemokine signaling pathway","KEGG:04062","0.028271156301274282","1.5486564283342117","188","27","5","7590","CXCR3,CXCR6,ITK,CCL4,CCR5"
"REAC","Immune System","REAC:R-HSA-168256","0.000016633713827602156","4.779010774546894","2034","24","17","10526","CD3D,CD3E,IL12RB1,ITK,SH2D1A,ARHGAP9,CCL4,CCR5,CD96,IL21R,IL2RB,ITGAL,ITGB7,LCK,PTPN22,SLAMF6,TBC1D10C"
"REAC","Translocation of ZAP-70 to Immunological synapse","REAC:R-HSA-202430","0.000027608531402906536","4.5589566944319815","20","24","4","10526","CD3D,CD3E,LCK,PTPN22"
"REAC","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","REAC:R-HSA-198933","0.000028940800279690932","4.538489463809644","180","24","7","10526","CD3D,CD3E,SH2D1A,CD96,ITGAL,ITGB7,SLAMF6"
"REAC","Phosphorylation of CD3 and TCR zeta chains","REAC:R-HSA-202427","0.00005022903858638332","4.299045134415096","23","24","4","10526","CD3D,CD3E,LCK,PTPN22"
"REAC","Generation of second messenger molecules","REAC:R-HSA-202433","0.00025869438400972556","3.5872129992697745","34","24","4","10526","CD3D,CD3E,ITK,LCK"
"REAC","Adaptive Immune System","REAC:R-HSA-1280218","0.001253661470703041","2.901819721283709","800","24","10","10526","CD3D,CD3E,ITK,SH2D1A,CD96,ITGAL,ITGB7,LCK,PTPN22,SLAMF6"
"REAC","TCR signaling","REAC:R-HSA-202403","0.0017065653679773339","2.7678770719278916","119","24","5","10526","CD3D,CD3E,ITK,LCK,PTPN22"
"REAC","PD-1 signaling","REAC:R-HSA-389948","0.0057385039128248876","2.2412013178972376","24","24","3","10526","CD3D,CD3E,LCK"
"REAC","Interleukin-2 family signaling","REAC:R-HSA-451927","0.036442412324186144","1.438392882401381","44","24","3","10526","IL21R,IL2RB,LCK"
"REAC","Chemokine receptors bind chemokines","REAC:R-HSA-380108","0.047307978334118386","1.3250656107571126","48","24","3","10526","CXCR3,CXCR6,CCR5"
"WP","T-Cell antigen Receptor (TCR)  Signaling Pathway","WP:WP69","0.0000018600321259889643","5.730479554696469","90","23","7","6207","CD247,CD3D,CD3E,ITK,CCR5,ICOS,LCK"
"WP","Selective expression of chemokine receptors during T-cell polarization","WP:WP4494","0.0002754994007372322","3.5598793414829633","29","23","4","6207","CXCR3,IL12RB1,CCL4,CCR5"
"WP","T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection","WP:WP3863","0.005966875864219995","2.2242529971894283","62","23","4","6207","CD3D,ITK,ICOS,LCK"
"TF","Factor: FOXJ2; motif: AYMATAATATTTKN; match class: 0","TF:M00423_0","0.04877911870422979","1.3117660503803739","7098","47","31","19916","APOL3,CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,ITK,SH2D1A,SIRPG,CCL4,CCR5,CD96,GIMAP2,GIMAP5,GPR174,GZMK,ICOS,IL21R,IL2RB,ITGB7,P2RY10,PTPN22,PYHIN1,SIT1,SLAMF6,TRAF3IP3,UBASH3A,EIF1AY,RPS4Y1,USP9Y"
"TF","Factor: FOXJ2; motif: AYMATAATATTTKN","TF:M00423","0.04877911870422979","1.3117660503803739","7098","47","31","19916","APOL3,CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,ITK,SH2D1A,SIRPG,CCL4,CCR5,CD96,GIMAP2,GIMAP5,GPR174,GZMK,ICOS,IL21R,IL2RB,ITGB7,P2RY10,PTPN22,PYHIN1,SIT1,SLAMF6,TRAF3IP3,UBASH3A,EIF1AY,RPS4Y1,USP9Y"
"HP","Immunodeficiency","HP:0002721","0.0000018332446160597585","5.736779581782493","191","14","9","4006","CD247,CD3D,CD3E,IL12RB1,SH2D1A,CORO1A,ICOS,IL21R,LCK"
"HP","Abnormal lymphocyte count","HP:0040088","0.000028427157397977397","4.546266565849286","109","14","7","4006","CD247,CD3D,CD3E,SH2D1A,CORO1A,ICOS,LCK"
"HP","Abnormal lymphocyte morphology","HP:0004332","0.00006629130417632598","4.178543436842927","123","14","7","4006","CD247,CD3D,CD3E,SH2D1A,CORO1A,ICOS,LCK"
"HP","Autoimmunity","HP:0002960","0.000147699610963624","3.8306206486052736","138","14","7","4006","CD247,IL12RB1,ITK,ICOS,IL2RB,LCK,PTPN22"
"HP","Recurrent infections","HP:0002719","0.00024321460948217396","3.614010341295163","612","14","11","4006","CD247,CD3D,CD3E,IL12RB1,ITK,SH2D1A,CORO1A,ICOS,IL21R,LCK,PTPN22"
"HP","Unusual infection","HP:0032101","0.0004453780336622054","3.3512712064635073","648","14","11","4006","CD247,CD3D,CD3E,IL12RB1,ITK,SH2D1A,CORO1A,ICOS,IL21R,LCK,PTPN22"
"HP","Lymphopenia","HP:0001888","0.0004716100982507692","3.3264169042393053","97","14","6","4006","CD247,CD3D,CD3E,CORO1A,ICOS,LCK"
"HP","Abnormality of immune system physiology","HP:0010978","0.0006334554669023378","3.1982839114173145","1115","14","13","4006","CD247,CD3D,CD3E,IL12RB1,ITK,SH2D1A,CD96,CORO1A,ICOS,IL21R,IL2RB,LCK,PTPN22"
"HP","Antinuclear antibody positivity","HP:0003493","0.0012054317517861414","2.91885737314362","25","14","4","4006","CD247,IL12RB1,IL2RB,PTPN22"
"HP","Increased inflammatory response","HP:0012649","0.0018769152223810813","2.72655534340614","743","14","11","4006","CD247,CD3D,CD3E,IL12RB1,ITK,SH2D1A,ICOS,IL21R,IL2RB,LCK,PTPN22"
"HP","Abnormal inflammatory response","HP:0012647","0.0018769152223810813","2.72655534340614","743","14","11","4006","CD247,CD3D,CD3E,IL12RB1,ITK,SH2D1A,ICOS,IL21R,IL2RB,LCK,PTPN22"
"HP","Abnormal erythrocyte sedimentation rate","HP:0025021","0.0029624460415287705","2.5283495512197196","31","14","4","4006","CD247,ITK,IL2RB,PTPN22"
"HP","Elevated erythrocyte sedimentation rate","HP:0003565","0.0029624460415287705","2.5283495512197196","31","14","4","4006","CD247,ITK,IL2RB,PTPN22"
"HP","Iridocyclitis","HP:0001094","0.0030006807424604585","2.52278020889484","9","14","3","4006","CD247,IL2RB,PTPN22"
"HP","Autoimmune antibody positivity","HP:0030057","0.007620533114440192","2.1180146453847026","39","14","4","4006","CD247,IL12RB1,IL2RB,PTPN22"
"HP","Leukopenia","HP:0001882","0.00905606977685501","2.043060239911728","160","14","6","4006","CD247,CD3D,CD3E,CORO1A,ICOS,LCK"
"HP","Polyarticular arthritis","HP:0005764","0.01013260095754087","1.9942790604128693","13","14","3","4006","CD247,IL2RB,PTPN22"
"HP","Juvenile rheumatoid arthritis","HP:0005681","0.01013260095754087","1.9942790604128693","13","14","3","4006","CD247,IL2RB,PTPN22"
"HP","Polyarticular arthropathy","HP:0005195","0.01013260095754087","1.9942790604128693","13","14","3","4006","CD247,IL2RB,PTPN22"
"HP","Anterior uveitis","HP:0012122","0.012869443079708004","1.8904402466187646","14","14","3","4006","CD247,IL2RB,PTPN22"
"HP","Rheumatoid arthritis","HP:0001370","0.012869443079708004","1.8904402466187646","14","14","3","4006","CD247,IL2RB,PTPN22"
"HP","Abnormality of the immune system","HP:0002715","0.014860372796124148","1.8279702954698733","1431","14","13","4006","CD247,CD3D,CD3E,IL12RB1,ITK,SH2D1A,CD96,CORO1A,ICOS,IL21R,IL2RB,LCK,PTPN22"
"HP","Recurrent respiratory infections","HP:0002205","0.015327489937848555","1.8145289603051666","394","14","8","4006","CD3D,CD3E,SH2D1A,CORO1A,ICOS,IL21R,LCK,PTPN22"
"HP","Abnormal leukocyte count","HP:0011893","0.019815188804753147","1.7030017852287669","284","14","7","4006","CD247,CD3D,CD3E,SH2D1A,CORO1A,ICOS,LCK"
"HP","Respiratory tract infection","HP:0011947","0.027955995859222666","1.5535250325249008","427","14","8","4006","CD3D,CD3E,SH2D1A,CORO1A,ICOS,IL21R,LCK,PTPN22"
"HP","Abnormal cellular immune system morphology","HP:0010987","0.03992721876905517","1.3987309406276005","448","14","8","4006","CD247,CD3D,CD3E,SH2D1A,CORO1A,ICOS,LCK,PTPN22"
"HP","Abnormal leukocyte morphology","HP:0001881","0.03992721876905517","1.3987309406276005","448","14","8","4006","CD247,CD3D,CD3E,SH2D1A,CORO1A,ICOS,LCK,PTPN22"
"HP","Abnormal immune system morphology","HP:0032251","0.04933167672328935","1.3068741231493137","461","14","8","4006","CD247,CD3D,CD3E,SH2D1A,CORO1A,ICOS,LCK,PTPN22"
